,score,date
0,1.4690954773869347,2022-03-01
1,1.5178401522359657,2022-03-02
2,1.3889702293801856,2022-03-03
3,1.4539044136850352,2022-03-04
4,1.6475563909774436,2022-03-05
5,1.4758256274768824,2022-03-06
6,1.1139168407062845,2022-03-07
7,1.5571030640668524,2022-03-08
8,1.6562583400053377,2022-03-09
9,1.6203898840885143,2022-03-10
10,1.7217941662080352,2022-03-11
11,1.6580645161290322,2022-03-12
12,1.5981208053691276,2022-03-13
13,1.7015384615384614,2022-03-14
14,1.756479635431501,2022-03-15
15,1.636387230729302,2022-03-16
16,1.7392550143266476,2022-03-17
17,1.6360720453984703,2022-03-18
18,1.7838125665601703,2022-03-19
19,1.8110665137614679,2022-03-20
20,1.6920777279521675,2022-03-21
21,1.83879173290938,2022-03-22
22,1.8413348946135832,2022-03-23
23,1.9285714285714286,2022-03-24
24,1.7398945518453428,2022-03-25
25,1.8733366190241498,2022-03-26
26,1.9194029850746268,2022-03-27
27,1.8463713477851085,2022-03-28
28,2.3934527486102533,2022-03-29
29,1.7035220686580472,2022-03-30
30,1.7428302773859896,2022-03-31
